# Serial Character Occurrence Counting Results
# Configuration
Implementation,Serial
TargetCharacter,;
TargetCharacterASCII,59
StringLength,65536
Alignment,16
Repetitions,100
RandomSeed,42
TotalCharacters,65535
Occurrences,369
Frequency,0.563058

# Performance Summary
Metric,Value,Unit
AvgExecutionTime,0.014165,ms
StdDeviation,0.004970,ms
MinExecutionTime,0.011775,ms
MaxExecutionTime,0.040429,ms
AvgThroughput,4412.392823,MB/s
AvgCharsPerSecond,4626658618.462155,chars/s

# Individual Execution Times
Run,ExecutionTime_ms,Throughput_MBps,CharsPerSecond
1,0.012165,5137.690095,5387176325.524044
2,0.011890,5256.518082,5511774600.504626
3,0.011929,5239.332719,5493754715.399446
4,0.012088,5170.416942,5421492389.146260
5,0.012108,5161.876445,5412537165.510406
6,0.011820,5287.648054,5544416243.654822
7,0.011797,5297.957108,5555225904.891073
8,0.011907,5249.013186,5503905265.810028
9,0.011811,5291.677250,5548641097.282194
10,0.011782,5304.702088,5562298421.320659
11,0.011947,5231.438855,5485477525.738680
12,0.011926,5240.650679,5495136676.169713
13,0.011829,5283.624989,5540197818.919604
14,0.011922,5242.408992,5496980372.420734
15,0.011775,5307.855626,5565605095.541401
16,0.011824,5285.859269,5542540595.399189
17,0.011927,5240.211285,5494675945.334116
18,0.011790,5301.102629,5558524173.027989
19,0.011832,5282.285328,5538793103.448276
20,0.011792,5300.203528,5557581411.126187
21,0.011824,5285.859269,5542540595.399189
22,0.011905,5249.895002,5504829903.401932
23,0.011789,5301.552295,5558995673.933328
24,0.011850,5274.261603,5530379746.835443
25,0.012153,5142.763104,5392495680.078993
26,0.040429,1545.920008,1620989883.499468
27,0.013683,4567.711759,4789519842.139881
28,0.013996,4465.561589,4682409259.788511
29,0.013834,4517.854561,4737241578.719098
30,0.013820,4522.431259,4742040520.984080
31,0.014719,4246.212379,4452408451.661119
32,0.014188,4405.131097,4619044262.757260
33,0.032288,1935.703667,2029701437.066402
34,0.012285,5087.505088,5334554334.554335
35,0.012050,5186.721992,5438589211.618258
36,0.012361,5056.225224,5301755521.397944
37,0.013441,4649.951641,4875753292.165761
38,0.011826,5284.965331,5541603247.082699
39,0.011789,5301.552295,5558995673.933328
40,0.011808,5293.021680,5550050813.008129
41,0.011979,5217.463895,5470823941.898322
42,0.011789,5301.552295,5558995673.933328
43,0.011818,5288.542901,5545354543.916059
44,0.032370,1930.800124,2024559777.571826
45,0.013835,4517.528009,4736899168.774846
46,0.013691,4565.042729,4786721203.710466
47,0.013741,4548.431701,4769303544.137981
48,0.028159,2219.539046,2327319862.211016
49,0.012132,5151.665018,5401829871.414441
50,0.012858,4860.787059,5096826878.208119
51,0.028851,2166.302728,2271498388.270771
52,0.013866,4507.428242,4726308957.161403
53,0.013999,4464.604615,4681405814.701051
54,0.014443,4327.355813,4537492210.759538
55,0.026611,2348.652813,2462703393.333584
56,0.017074,3660.536488,3838292140.096053
57,0.016943,3688.839049,3867969072.773417
58,0.014147,4417.897788,4632430904.078603
59,0.014306,4368.796309,4580945058.017615
60,0.016238,3848.996182,4035903436.383791
61,0.016053,3893.353267,4082414501.962250
62,0.016034,3897.966821,4087252089.310216
63,0.029263,2135.802891,2239517479.410860
64,0.012549,4980.476532,5222328472.388238
65,0.013993,4466.518974,4683413135.138998
66,0.013238,4721.256987,4950521226.771416
67,0.012264,5096.216569,5343688845.401175
68,0.014385,4344.803615,4555787278.415015
69,0.013235,4722.327163,4951643369.852664
70,0.014232,4391.512085,4604763912.310287
71,0.015374,4065.305060,4262716274.229218
72,0.015339,4074.581133,4272442792.880892
73,0.012451,5019.677134,5263432656.011565
74,0.012251,5101.624357,5349359235.980736
75,0.013618,4589.513879,4812380672.639153
76,0.012078,5174.697798,5425981122.702435
77,0.014934,4185.081023,4388308557.653676
78,0.011968,5222.259358,5475852272.727273
79,0.011992,5211.807872,5464893262.174784
80,0.014831,4214.146045,4418784977.412177
81,0.016367,3818.659498,4004093602.981609
82,0.012518,4992.810353,5235261223.837674
83,0.013566,4607.106000,4830827067.669173
84,0.013012,4803.258531,5036504764.832462
85,0.012458,5016.856638,5260475196.660780
86,0.011928,5239.771965,5494215291.750503
87,0.011885,5258.729491,5514093395.035759
88,0.012694,4923.585946,5162675279.659681
89,0.012038,5191.892341,5444010632.995514
90,0.012479,5008.414136,5251622726.179982
91,0.012410,5036.261080,5280821917.808219
92,0.011885,5258.729491,5514093395.035759
93,0.011797,5297.957108,5555225904.891073
94,0.011811,5291.677250,5548641097.282194
95,0.011784,5303.801765,5561354378.818738
96,0.011811,5291.677250,5548641097.282194
97,0.011809,5292.573461,5549580828.181895
98,0.011779,5306.053145,5563715086.170303
99,0.011818,5288.542901,5545354543.916059
100,0.011785,5303.351718,5560882477.725923
