# SIMD-SSE4.2 Character Occurrence Counting Results
# Configuration
Implementation,SIMD-SSE4.2
TargetCharacter,;
TargetCharacterASCII,59
StringLength,65536
Alignment,32
Repetitions,100
RandomSeed,42
TotalCharacters,65535
Occurrences,369
Frequency,0.563058

# Performance Summary
Metric,Value,Unit
AvgExecutionTime,0.002265,ms
StdDeviation,0.000035,ms
MinExecutionTime,0.002247,ms
MaxExecutionTime,0.002596,ms
AvgThroughput,27593.209863,MB/s
AvgCharsPerSecond,28933136133.860157,chars/s

# Individual Execution Times
Run,ExecutionTime_ms,Throughput_MBps,CharsPerSecond
1,0.002596,24075.500770,25244607087.827427
2,0.002279,27424.308907,28756033347.959629
3,0.002301,27162.103433,28481095176.010429
4,0.002262,27630.415561,28972148541.114056
5,0.002251,27765.437583,29113727232.341179
6,0.002263,27618.205921,28959346000.883785
7,0.002259,27667.109340,29010624169.986717
8,0.002258,27679.362267,29023472099.202831
9,0.002260,27654.867257,28997787610.619469
10,0.002265,27593.818985,28933774834.437088
11,0.002311,27044.569450,28357853742.968410
12,0.002265,27593.818985,28933774834.437088
13,0.002266,27581.641659,28921006178.287731
14,0.002270,27533.039648,28870044052.863438
15,0.002255,27716.186253,29062084257.206207
16,0.002261,27642.636002,28984962406.015038
17,0.002252,27753.108348,29100799289.520424
18,0.002265,27593.818985,28933774834.437088
19,0.002249,27790.128946,29139617607.825699
20,0.002257,27691.626052,29036331413.380596
21,0.002288,27316.433566,28642919580.419582
22,0.002251,27765.437583,29113727232.341179
23,0.002263,27618.205921,28959346000.883785
24,0.002256,27703.900709,29049202127.659573
25,0.002265,27593.818985,28933774834.437088
26,0.002257,27691.626052,29036331413.380596
27,0.002266,27581.641659,28921006178.287731
28,0.002264,27606.007067,28946554770.318024
29,0.002254,27728.482697,29074977817.213844
30,0.002262,27630.415561,28972148541.114056
31,0.002298,27197.563098,28518276762.402084
32,0.002248,27802.491103,29152580071.174377
33,0.002257,27691.626052,29036331413.380596
34,0.002264,27606.007067,28946554770.318024
35,0.002261,27642.636002,28984962406.015038
36,0.002252,27753.108348,29100799289.520424
37,0.002263,27618.205921,28959346000.883785
38,0.002256,27703.900709,29049202127.659573
39,0.002266,27581.641659,28921006178.287731
40,0.002257,27691.626052,29036331413.380596
41,0.002294,27244.986922,28568003487.358326
42,0.002262,27630.415561,28972148541.114056
43,0.002252,27753.108348,29100799289.520424
44,0.002259,27667.109340,29010624169.986717
45,0.002249,27790.128946,29139617607.825699
46,0.002256,27703.900709,29049202127.659573
47,0.002251,27765.437583,29113727232.341179
48,0.002251,27765.437583,29113727232.341179
49,0.002253,27740.790058,29087882822.902798
50,0.002263,27618.205921,28959346000.883785
51,0.002282,27388.255916,28718229623.137596
52,0.002268,27557.319224,28895502645.502644
53,0.002266,27581.641659,28921006178.287731
54,0.002256,27703.900709,29049202127.659573
55,0.002262,27630.415561,28972148541.114056
56,0.002252,27753.108348,29100799289.520424
57,0.002259,27667.109340,29010624169.986717
58,0.002250,27777.777778,29126666666.666672
59,0.002255,27716.186253,29062084257.206207
60,0.002248,27802.491103,29152580071.174377
61,0.002280,27412.280702,28743421052.631580
62,0.002261,27642.636002,28984962406.015038
63,0.002254,27728.482697,29074977817.213844
64,0.002264,27606.007067,28946554770.318024
65,0.002259,27667.109340,29010624169.986717
66,0.002284,27364.273205,28693082311.733799
67,0.002255,27716.186253,29062084257.206207
68,0.002263,27618.205921,28959346000.883785
69,0.002262,27630.415561,28972148541.114056
70,0.002251,27765.437583,29113727232.341179
71,0.002292,27268.760908,28592931937.172771
72,0.002247,27814.864263,29165554072.096130
73,0.002258,27679.362267,29023472099.202831
74,0.002261,27642.636002,28984962406.015038
75,0.002251,27765.437583,29113727232.341179
76,0.002263,27618.205921,28959346000.883785
77,0.002255,27716.186253,29062084257.206207
78,0.002266,27581.641659,28921006178.287731
79,0.002258,27679.362267,29023472099.202831
80,0.002265,27593.818985,28933774834.437088
81,0.002292,27268.760908,28592931937.172771
82,0.002252,27753.108348,29100799289.520424
83,0.002259,27667.109340,29010624169.986717
84,0.002248,27802.491103,29152580071.174377
85,0.002257,27691.626052,29036331413.380596
86,0.002250,27777.777778,29126666666.666672
87,0.002261,27642.636002,28984962406.015038
88,0.002253,27740.790058,29087882822.902798
89,0.002262,27630.415561,28972148541.114056
90,0.002256,27703.900709,29049202127.659573
91,0.002282,27388.255916,28718229623.137596
92,0.002267,27569.475077,28908248786.943096
93,0.002255,27716.186253,29062084257.206207
94,0.002263,27618.205921,28959346000.883785
95,0.002253,27740.790058,29087882822.902798
96,0.002261,27642.636002,28984962406.015038
97,0.002248,27802.491103,29152580071.174377
98,0.002248,27802.491103,29152580071.174377
99,0.002248,27802.491103,29152580071.174377
100,0.002260,27654.867257,28997787610.619469
